Channannel-ID,Channel-URL,Name
UC64-PJ-yoF7aJ9pIHWEbrTQ,http://www.youtube.com/channel/UC64-PJ-yoF7aJ9pIHWEbrTQ,Purism
UCkKEaHsVor1iYpbvZoourqQ,http://www.youtube.com/channel/UCkKEaHsVor1iYpbvZoourqQ,I Chose Hampture
UCs6A_0Jm21SIvpdKyg9Gmxw,http://www.youtube.com/channel/UCs6A_0Jm21SIvpdKyg9Gmxw,PINE64
